Subcomponent ID	Famliy Name	Gene NAME	Component ID	ORF type(Based on Predicted protein)	Predicted protein length	"E-value(Overall,hmmsearch)"	"E-value(Best domain,hmmsearch)"	"Query Coverage(BLASTP, Trinotate, %)"	"Target ID(BLASTX,Trinotate)"	"Identity(BLASTX,Trinotate)"	"Query coordinates(BALSTX, Trinotate)"	"Target coordinates(BALSTP, Trinotate)"	"E-value(BLASTX, Trinotate)"	"Traget Length(BLASTX, Trinotate)"	"Full Name(BLASTX, Trinotate)"	"Target ID(BLASTP,Trinotate)"	"Identity(BLASTP,Trinotate)"	"Query coordinates(BALSTP, Trinotate)"	"Target coordinates(BALSTP, Trinotate)_2"	"E-value(BLASTP, Trinotate)"	"Traget Length(BLASTP, Trinotate)"	"Target Coverage(BLASTP, Trinotate,%)"	"Full Name(BLASTP, Trinotate)"	"Best Domain ID(PFAM, Trinotate)"	"Best Domain Name(PFAM,Trinoate)"	"E-value(Pfam,Trinotate)"
TRINITY_DN213132_c5_g2_i2	SRPNs	Serpin B8-4	TRINITY_DN213132_c5_g2	complete	403	2.10E-27	2.70E-27	92.556	Y2678_METMA	0.32723	2275-1154	48-420	3.51E-47	426	Uncharacterized serpin-like protein MM_2675	SPB8_BOVIN	0.32283	28-400	4-374	1.20E-55	374	99.198	Serpin B8	PF00079.17	Serpin (serine protease inhibitor)	1.70E-98
TRINITY_DN185998_c0_g1_i1	SRPNs	Serpin B9	TRINITY_DN185998_c0_g1	5prime_partial	409	1.20E-29	1.70E-29	89.487	SPB9_HUMAN	0.31383	121-1218	4-376	2.18E-54	376	Serpin B9	SPB9_HUMAN	0.31383	41-406	4-376	4.49E-55	376	99.202	Serpin B9	PF00079.17	Serpin (serine protease inhibitor)	6.00E-106
TRINITY_DN201023_c0_g1_i1	SRPNs	Uncharacterized serpin-like protein MM_2675	TRINITY_DN201023_c0_g1	5prime_partial	291	3.70E-19	2.50E-18	98.625	ACH2_BOMMO	0.33333	946-86	90-375	2.26E-38	375	Antichymotrypsin-2	Y2678_METMA	0.31615	1-287	134-420	6.18E-40	426	67.371	Uncharacterized serpin-like protein MM_2675	PF00079.17	Serpin (serine protease inhibitor)	2.60E-75
TRINITY_DN205021_c0_g1_i1	Stam_JAK-STAT	Signal transducing adapter molecule 1	TRINITY_DN205021_c0_g1	complete	414	1.70E-199	1.90E-199	95.411	STAM1_HUMAN	0.54386	1415-231	1-393	1.36E-146	540	Signal transducing adapter molecule 1	STAM1_HUMAN	0.54386	1-395	1-393	3.76E-148	540	72.778	Signal transducing adapter molecule 1	PF00790.16	VHS domain	3.90E-39
TRINITY_DN210050_c5_g1_i1	STAT_JAK-STAT	Signal transducer and activator of transcription 5A	TRINITY_DN210050_c5_g1	complete	813	2.00E-234	2.40E-234	91.513	STA5B_PIG	0.52676	164-2272	1-702	0	787	Signal transducer and activator of transcription 5B	STA5A_HUMAN	0.51511	1-744	1-749	0	794	94.332	Signal transducer and activator of transcription 5A	PF02864.12	"STAT protein, DNA binding domain"	1.60E-103
TRINITY_DN207416_c6_g2_i1	TAB2_IMD	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2	TRINITY_DN207416_c6_g2	3prime_partial	109	3.60E-24	3.80E-24	41.284	TAB2_RAT	0.44444	422-556	Oct-54	0.0000484	693	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2	TAB2_RAT	0.44444	14-58	Oct-54	0.0000046	693	6.494	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2			
TRINITY_DN204112_c0_g2_i1	TAK1_IMD	Mitogen-activated protein kinase kinase kinase 7	TRINITY_DN204112_c0_g2	complete	583	5.80E-132	9.20E-132	94.34	M3K7_BOVIN	0.50619	245-1894	29-579	4.01E-168	579	Mitogen-activated protein kinase kinase kinase 7	M3K7_BOVIN	0.5115	15-564	29-579	8.18E-180	579	95.164	Mitogen-activated protein kinase kinase kinase 7	PF07714.14	Protein tyrosine kinase	1.40E-61
TRINITY_DN212116_c6_g1_i3	TEPs	Alpha-2-macroglobulin-like protein 1	TRINITY_DN212116_c6_g1	complete	1771	4.50E-236	5.70E-236	86.448	A2ML1_HUMAN	0.30301	5677-1145	23-1450	0	1454	Alpha-2-macroglobulin-like protein 1	A2ML1_HUMAN	0.30891	7-1537	3-1450	0	1454	99.587	Alpha-2-macroglobulin-like protein 1	PF07678.11	A-macroglobulin complement component	4.10E-67
TRINITY_DN203691_c2_g1_i5	TEPs	CD109 antigen-1	TRINITY_DN203691_c2_g1	complete	1631	1.10E-244	1.40E-244	93.991	CD109_HUMAN	0.25032	5400-802	28-1416	2.44E-127	1445	CD109 antigen	CD109_HUMAN	0.25032	65-1597	28-1416	1.45E-131	1445	96.125	CD109 antigen	PF07678.11	A-macroglobulin complement component	1.00E-67
TRINITY_DN205654_c2_g1_i2	TEPs	CD109 antigen-2	TRINITY_DN205654_c2_g1	complete	1462	1.90E-266	2.50E-266	93.365	CD109_HUMAN	0.34727	4516-422	106-1445	0	1445	CD109 antigen	CD109_HUMAN	0.34869	96-1460	106-1445	0	1445	92.734	CD109 antigen	PF07678.11	A-macroglobulin complement component	1.70E-71
TRINITY_DN206930_c2_g1_i2	TEPs	CD109 antigen-3	TRINITY_DN206930_c2_g1	5prime_partial	1270	1.10E-99	1.40E-99	96.535	CD109_HUMAN	0.22617	3763-125	102-1172	6.21E-55	1445	CD109 antigen	CD109_HUMAN	0.22702	29-1254	102-1185	3.89E-56	1445	75.017	CD109 antigen	PF07678.11	A-macroglobulin complement component	1.30E-40
TRINITY_DN208822_c2_g4_i2	Termicin	Termicin-1	TRINITY_DN208822_c2_g4	5prime_partial	81	1.30E-28	1.90E-28	43.21	TERN_PSEUS	0.68571	1576-1472	Feb-36	0.000000012	36	Termicin	TERN_PSEUS	0.68571	46-80	Feb-36	9.99E-11	36	97.222	Termicin	PF11415.5	Antifungal peptide termicin	5.60E-16
TRINITY_DN238294_c0_g1_i1	Termicin	Termicin-2	TRINITY_DN238294_c0_g1	5prime_partial	69	5.20E-19	5.70E-19	50.725	TERN_PSEUS	0.54286	102-206	Jan-35	0.000158	36	Termicin	TERN_PSEUS	0.54286	34-68	Jan-35	0.000019	36	97.222	Termicin	PF11415.5	Antifungal peptide termicin	1.40E-09
TRINITY_DN191714_c1_g1_i1	TLR_Toll	Protein toll-1	TRINITY_DN191714_c1_g1	complete	1414	4.80E-55	1.70E-54	69.873	TOLL_DROME	0.2433	909-3806	147-1006	1.95E-45	1097	Protein toll	TOLL_DROME	0.24361	245-1232	146-1006	3.86E-59	1097	78.487	Protein toll	PF13855.3	Leucine rich repeat	6.60E-12
TRINITY_DN197463_c1_g1_i1	TLR_Toll	Protein toll-2	TRINITY_DN197463_c1_g1	complete	1414	6.70E-49	2.80E-48	68.953	TOLL_DROME	0.23835	3970-1304	214-1005	8.32E-41	1097	Protein toll	TOLL_DROME	0.24516	252-1226	131-1005	5.02E-61	1097	79.763	Protein toll	PF13855.3	Leucine rich repeat	2.00E-14
TRINITY_DN201305_c0_g1_i1	TLR_Toll	Protein toll-3	TRINITY_DN201305_c0_g1	5prime_partial	1147	3.40E-72	1.40E-71	85.004	TOLL_DROME	0.26409	325-3249	146-994	5.39E-67	1097	Protein toll	TOLL_DROME	0.26706	109-1083	146-994	1.54E-75	1097	77.393	Protein toll	PF01582.17	TIR domain	5.50E-19
TRINITY_DN210363_c1_g1_i3	TLR_Toll	Protein toll-4	TRINITY_DN210363_c1_g1	3prime_partial	932	1.40E-49	4.30E-49	95.172	TOLL_DROME	0.375	2663-3	67-952	0	1097	Protein toll	TOLL_DROME	0.375	45-931	67-952	0	1097	80.766	Protein toll	PF13855.3	Leucine rich repeat	5.50E-17
TRINITY_DN216320_c0_g1_i1	TLR_Toll	Protein toll-5	TRINITY_DN216320_c0_g1	5prime_partial	259	1.00E-60	1.30E-60	65.637	TOLL_DROME	0.37427	1409-900	828-994	4.30E-32	1097	Protein toll	TOLL_DROME	0.39766	1-170	828-994	1.74E-39	1097	15.223	Protein toll	PF01582.17	TIR domain	5.10E-21
TRINITY_DN199910_c0_g1_i1	TLR_Toll	Toll-like receptor 13-1	TRINITY_DN199910_c0_g1	complete	835	1.90E-50	3.20E-50	66.946	TLR2_CRIGR	0.27983	1296-2669	357-782	2.42E-35	784	Toll-like receptor 2	TLR13_MOUSE	0.26761	250-808	468-982	1.80E-40	991	51.968	Toll-like receptor 13	PF01582.17	TIR domain	1.10E-22
TRINITY_DN207591_c0_g1_i2	TLR_Toll	Toll-like receptor 13-2	TRINITY_DN207591_c0_g1	complete	979	5.20E-55	7.20E-55	87.436	TLR1_HUMAN	0.40127	2759-3220	633-786	8.55E-21	786	Toll-like receptor 1	TLR13_MOUSE	0.24848	120-975	79-987	1.42E-41	991	91.726	Toll-like receptor 13	PF01582.17	TIR domain	2.30E-18
TRINITY_DN212988_c1_g1_i1	TLR_Toll	Toll-like receptor 13-3	TRINITY_DN212988_c1_g1	complete	846	5.20E-44	1.40E-43	85.225	TLR13_MOUSE	0.27349	967-2634	421-975	5.35E-30	991	Toll-like receptor 13	TLR13_MOUSE	0.26554	117-837	288-980	5.30E-39	991	69.929	Toll-like receptor 13	PF01582.17	TIR domain	2.20E-15
TRINITY_DN179468_c2_g1_i1	TLR_Toll	Toll-like receptor 2-1	TRINITY_DN179468_c2_g1	internal	123	1.90E-28	2.20E-28	99.187	TLR2_MACFA	0.39344	3-368	593-714	8.05E-22	784	Toll-like receptor 2	TLR2_MACFA	0.39344	1-122	593-714	7.25E-22	784	15.561	Toll-like receptor 2	PF01582.17	TIR domain	2.60E-13
TRINITY_DN213010_c2_g1_i8	TLR_Toll	Toll-like receptor 2-2	TRINITY_DN213010_c2_g1	complete	818	2.50E-47	4.50E-47		TLR2_HORSE	0.26603	2797-1001	244-782	1.53E-40	784	Toll-like receptor 2	TLR2_HORSE	0.26603	208-806	244-782	3.63E-41	784	68.75	Toll-like receptor 2	PF01582.17	TIR domain	4.00E-20
TRINITY_DN187166_c1_g1_i1	TLR_Toll	Toll-like receptor 2 type-2	TRINITY_DN187166_c1_g1	5prime_partial	231	8.60E-44	1.00E-43	82.684	TLR22_CHICK	0.33163	1081-509	588-779	4.22E-28	781	Toll-like receptor 2 type-2	TLR22_CHICK	0.33163	22-212	588-779	5.38E-30	781	24.584	Toll-like receptor 2 type-2	PF01582.17	TIR domain	4.60E-21
TRINITY_DN206575_c10_g1_i1	TPXs	Peroxiredoxin 1	TRINITY_DN206575_c10_g1	complete	197	4.80E-91	5.90E-91	96.447	PRDX1_DROME	0.77368	1965-1396	1-190	1.09E-102	194	Peroxiredoxin 1	PRDX1_DROME	0.77368	3-192	1-190	2.37E-110	194	97.938	Peroxiredoxin 1	PF00578.18	AhpC/TSA family	8.30E-38
TRINITY_DN200539_c2_g1_i1	TPXs	Peroxiredoxin-4	TRINITY_DN200539_c2_g1	complete	248	2.40E-90	2.80E-90	88.306	PRDX4_MOUSE	0.75566	1236-580	50-270	4.70E-119	274	Peroxiredoxin-4	PRDX4_MOUSE	0.75566	24-242	50-270	1.92E-123	274	80.657	Peroxiredoxin-4	PF00578.18	AhpC/TSA family	5.70E-35
TRINITY_DN199262_c2_g1_i1	TPXs	Peroxiredoxin-6	TRINITY_DN199262_c2_g1	complete	232	1.90E-53	2.10E-53	93.103	PRDX6_PIG	0.52558	220-861	7-221	5.10E-72	224	Peroxiredoxin-6	PRDX6_PIG	0.52074	1-216	5-221	5.76E-74	224	96.875	Peroxiredoxin-6	PF00578.18	AhpC/TSA family	6.40E-24
TRINITY_DN202519_c7_g1_i1	TPXs	Peroxiredoxin-6	TRINITY_DN202519_c7_g1	complete	220	1.60E-50	1.90E-50	98.182	PRDX6_PONAB	0.51835	76-723	5-221	1.03E-72	224	Peroxiredoxin-6	PRDX6_PONAB	0.51835	1-216	5-221	1.33E-74	224	96.875	Peroxiredoxin-6	PF00578.18	AhpC/TSA family	5.60E-25
TRINITY_DN202739_c2_g1_i1	TPXs	Peroxiredoxin-6	TRINITY_DN202739_c2_g1	complete	221	4.90E-60	6.10E-60	98.19	PRDX6_CHICK	0.69266	1151-501	6-223	4.27E-101	224	Peroxiredoxin-6	PRDX6_CHICK	0.69266	4-220	6-223	1.30E-104	224	97.321	Peroxiredoxin-6	PF00578.18	AhpC/TSA family	2.30E-30
TRINITY_DN209350_c3_g1_i2	TPXs	Peroxiredoxin-6	TRINITY_DN209350_c3_g1	5prime_partial	234	8.10E-57	9.50E-57	92.735	PRDX6_CHICK	0.55505	41-691	4-220	5.35E-77	224	Peroxiredoxin-6	PRDX6_CHICK	0.55505	14-230	4-220	2.67E-80	224	96.875	Peroxiredoxin-6	PF00578.18	AhpC/TSA family	2.00E-26
TRINITY_DN207196_c0_g1_i3	TPXs	Thioredoxin-dependent peroxide reductase	TRINITY_DN207196_c0_g1	complete	235	1.10E-87	1.30E-87	92.34	PRDX3_RAT	0.65899	877-227	46-257	4.74E-97	257	"Thioredoxin-dependent peroxide reductase, mitochondrial"	PRDX3_RAT	0.65899	18-234	46-257	1.66E-105	257	82.49	"Thioredoxin-dependent peroxide reductase, mitochondrial"	PF00578.18	AhpC/TSA family	2.60E-37
TRINITY_DN204719_c8_g1_i1	Traf_Toll	TNF receptor-associated factor 1	TRINITY_DN204719_c8_g1	complete	413	4.20E-13	5.10E-13	34.867	TRAF1_MOUSE	0.30128	1221-1652	261-405	8.47E-10	409	TNF receptor-associated factor 1	TRAF1_MOUSE	0.30128	266-409	261-405	2.57E-10	409	35.452	TNF receptor-associated factor 1			
TRINITY_DN191477_c0_g1_i1	Traf_Toll	TNF receptor-associated factor 2	TRINITY_DN191477_c0_g1	5prime_partial	583	6.40E-46	1.70E-45	31.904	TRAF2_HUMAN	0.33163	1187-1744	313-496	3.25E-22	501	TNF receptor-associated factor 2	TRAF2_HUMAN	0.3299	396-581	313-496	9.40E-23	501	36.727	TNF receptor-associated factor 2	PF02176.15	TRAF-type zinc finger	0.00022
TRINITY_DN209739_c7_g1_i1	Traf_Toll	TNF receptor-associated factor 4	TRINITY_DN209739_c7_g1	internal	394	2.10E-39	2.20E-39	93.655	TRAF4_MOUSE	0.51622	1108-2	48-417	7.42E-147	470	TNF receptor-associated factor 4	TRAF4_MOUSE	0.51622	25-393	48-417	6.68E-147	470	78.723	TNF receptor-associated factor 4	PF02176.15	TRAF-type zinc finger	3.30E-14
TRINITY_DN209961_c8_g1_i3	Traf_Toll	TNF receptor-associated factor 6	TRINITY_DN209961_c8_g1	complete	383	8.10E-13	1.50E-12	71.018	TRAF6_BOVIN	0.27083	1882-1067	241-519	1.21E-28	542	TNF receptor-associated factor 6	TRAF6_BOVIN	0.27083	108-379	241-519	2.83E-30	542	51.476	TNF receptor-associated factor 6	PF13923.3	"Zinc finger, C3HC4 type (RING finger)"	1.50E-10
TRINITY_DN206535_c9_g1_i1	Transferrin	Melanotransferrin	TRINITY_DN206535_c9_g1	5prime_partial	809	6.30E-60	1.40E-45	88.133	TRFM_RABIT	0.35744	195-2333	25-700	1.42E-124	736	Melanotransferrin	TRFM_RABIT	0.35744	65-777	25-700	8.46E-125	736	91.848	Melanotransferrin	PF00405.14	Transferrin	2.10E-77
TRINITY_DN207471_c0_g1_i1	Transferrin	Transferrin	TRINITY_DN207471_c0_g1	complete	762	4.10E-41	2.30E-32	89.764	TRF_BLADI	0.25598	159-2210	28-699	5.24E-59	726	Transferrin	TRF_BLADI	0.25598	26-709	28-699	1.69E-64	726	92.562	Transferrin	PF00405.14	Transferrin	1.00E-34
TRINITY_DN210772_c5_g4_i1	Transferrin	Transferrin	TRINITY_DN210772_c5_g4	5prime_partial	515	5.20E-48	9.70E-48	98.252	TRF_BLADI	0.75822	2-1519	130-646	0	726	Transferrin	TRF_BLADI	0.75822	1-506	130-646	0	726	71.212	Transferrin	PF00405.14	Transferrin	3.50E-82
TRINITY_DN202454_c1_g1_i1	Tube_Toll	Interleukin-1 receptor-associated kinase 4	TRINITY_DN202454_c1_g1	complete	520	8.00E-143	9.20E-143	98.269	IRAK4_HUMAN	0.34302	205-1734	9-457	6.96E-62	460	Interleukin-1 receptor-associated kinase 4	IRAK4_HUMAN	0.34236	4-514	8-457	4.78E-69	460	97.826	Interleukin-1 receptor-associated kinase 4	PF00069.22	Protein kinase domain	1.00E-48
TRINITY_DN201921_c0_g1_i1	ULK_ATG	Serine/threonine-protein kinase ULK3	TRINITY_DN201921_c0_g1	complete	466	2.90E-95	4.50E-95	94.206	ULK3_XENLA	0.52392	1582-266	8-439	3.97E-144	468	Serine/threonine-protein kinase ULK3	ULK3_XENLA	0.52392	4-442	8-439	1.58E-157	468	92.308	Serine/threonine-protein kinase ULK3	PF00069.22	Protein kinase domain	4.30E-68
TRINITY_DN207690_c9_g1_i4	ULK_ATG	Serine/threonine-protein kinase unc-51	TRINITY_DN207690_c9_g1	complete	794	2.00E-101	3.00E-101	99.496	ULK1_HUMAN	0.51688	4591-3278	9-466	1.71E-105	1050	Serine/threonine-protein kinase ULK1	UNC51_CAEEL	0.41011	1-790	1-851	1.00E-178	856	99.416	Serine/threonine-protein kinase unc-51	PF00069.22	Protein kinase domain	3.40E-63
